"threshold","snow_year","start_year","scdot_first_day","scdot_last_day","scdot_first_doy_adjusted","scdot_last_doy_adjusted","scdot_length","scdot_count","scdot_percentage","max_consecutive_days","number_of_events","scp_length"
40,"1951-1952",1951,1952-01-07,1952-03-27,160,240,81,45,38.755980861244,44,2,209
40,"1952-1953",1952,1953-01-26,1953-03-25,179,237,59,44,29.7979797979798,27,2,198
40,"1953-1954",1953,1953-11-30,1954-05-07,122,280,159,159,72.2727272727273,159,1,220
40,"1954-1955",1954,1954-11-13,1955-04-05,105,248,144,78,67.6056338028169,65,3,213
40,"1955-1956",1955,1955-12-21,1956-04-11,143,255,113,113,54.8543689320388,113,1,206
40,"1956-1957",1956,1956-11-18,1957-04-01,111,244,135,74,58.4415584415584,59,3,231
40,"1957-1958",1957,1957-11-26,1958-04-17,118,260,143,109,72.5888324873096,103,3,197
40,"1958-1959",1958,1958-12-21,1959-04-10,143,253,111,111,53.3653846153846,111,1,208
40,"1959-1960",1959,1960-02-03,1960-04-04,187,248,62,62,30.2439024390244,62,1,205
40,"1960-1961",1960,1960-11-21,1961-04-17,114,260,148,148,69.811320754717,148,1,212
40,"1961-1962",1961,1961-10-10,1962-04-02,71,245,175,158,79.185520361991,153,3,221
40,"1962-1963",1962,1962-12-26,1963-04-13,148,256,109,109,56.1855670103093,109,1,194
40,"1963-1964",1963,1963-11-26,1964-04-24,118,268,151,148,82.5136612021858,140,2,183
40,"1964-1965",1964,1965-02-14,1965-03-03,198,215,18,18,10.4046242774566,18,1,173
40,"1965-1966",1965,1965-12-24,1966-03-31,146,243,98,98,49,98,1,200
40,"1966-1967",1966,1966-10-31,1967-04-21,92,264,173,170,86.5,168,2,200
40,"1967-1968",1967,1968-01-17,1968-02-28,170,212,43,43,21.2871287128713,43,1,202
40,"1968-1969",1968,1968-11-22,1969-04-08,115,251,138,138,69,138,1,200
40,"1969-1970",1969,NA,NA,NA,NA,0,0,0,0,0,200
40,"1970-1971",1970,NA,NA,NA,NA,0,0,0,0,0,196
40,"1971-1972",1971,NA,NA,NA,NA,0,0,0,0,0,192
40,"1972-1973",1972,1973-01-23,1973-03-22,176,234,59,6,29.6482412060301,5,2,199
40,"1973-1974",1973,1973-12-07,1974-04-17,129,260,132,132,70.9677419354839,132,1,186
40,"1974-1975",1974,1974-12-22,1975-04-08,144,251,108,104,46.7532467532467,93,2,231
40,"1975-1976",1975,1975-11-17,1976-04-04,109,248,140,140,71.7948717948718,140,1,195
40,"1976-1977",1976,1977-03-13,1977-04-05,225,248,24,21,13.6363636363636,18,2,176
40,"1977-1978",1977,NA,NA,NA,NA,0,0,0,0,0,177
40,"1978-1979",1978,1979-03-05,1979-04-23,217,266,50,41,21.8340611353712,37,2,229
40,"1979-1980",1979,NA,NA,NA,NA,0,0,0,0,0,183
40,"1980-1981",1980,1981-04-08,1981-04-23,251,266,16,16,7.11111111111111,16,1,225
40,"1981-1982",1981,1982-02-20,1982-03-19,204,231,28,28,13.5265700483092,28,1,207
40,"1982-1983",1982,1983-01-15,1983-04-19,168,262,95,95,46.7980295566502,95,1,203
40,"1983-1984",1983,NA,NA,NA,NA,0,0,0,0,0,203
40,"1984-1985",1984,1985-01-26,1985-04-23,179,266,88,81,40.9302325581395,72,3,215
40,"1985-1986",1985,1986-01-20,1986-04-24,173,267,95,95,45.4545454545455,95,1,209
40,"1986-1987",1986,1987-01-24,1987-04-16,177,259,83,83,41.5,83,1,200
40,"1987-1988",1987,1988-02-01,1988-04-21,185,265,81,81,41.5384615384615,81,1,195
40,"1988-1989",1988,1989-01-22,1989-04-08,175,251,77,77,40.7407407407407,77,1,189
40,"1989-1990",1989,1989-11-25,1990-03-28,117,240,124,124,65.9574468085106,124,1,188
